Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Coordonnee X;Coordonnee Y;Latitude;Longitude;Appariement;Localisation;Code nature uai;Nature uai;Etat établissement;Libellé état établissement;Code département;Code région;Code académie;Position
0622239X;Collège Jean de Saint Aubert;COLLEGE;JEAN DE SAINT AUBERT;Public;Rue ANDRE PANTIGNY;;;62820;LIBERCOURT;701162.6;7042629.8;50.48105884300051;3.01635525630253;Parfaite;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.481058843, 3.0163552563
0622653X;Ecole primaire privée Sacré-Coeur;ECOLE PRIMAIRE PRIVEE;SACRE COEUR;Privé;19 rue Robert Diers;;;62840;FLEURBAIX;688057.4;7061729.5;50.652368087051144;2.8314201768901155;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.6523680871, 2.83142017689
0622946R;Collège Joliot-Curie;COLLEGE;JOLIOT-CURIE;Public;RUE JOLIOT CURIE;;BP90306;62138;AUCHY LES MINES;684955.4;7046753.2;50.51789053363438;2.7882000741563964;Parfaite;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.5178905336, 2.78820007416
0622967N;Ecole primaire Cité Papillon;ECOLE PRIMAIRE PUBLIQUE;CITE PAPILLON;Public;Rue des Pâquerettes;;;62138;HAISNES;685781.1;7045116.0;50.50321460876984;2.7998827529062695;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.5032146088, 2.79988275291
0623018U;Collège Louis Pasteur;COLLEGE;LOUIS PASTEUR;Public;8 avenue JEAN MERMOZ;;BP80139;62212;CARVIN CEDEX;699336.6;7041989.4;50.47531115412596;2.990668467776574;Moyenne;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.4753111541, 2.99066846778
0623019V;Section d'enseignement général et professionnel adapté du Collège Louis Pasteur;SEGPA;CLG LOUIS PASTEUR;Public;Avenue DES SPORTS;;BP80139;62590;OIGNIES;699721.0;7041653.7;50.472298083536494;2.996075758489624;Parfaite;Numéro de rue;390;Section d'enseignement général et professionnel adapté;1;Ouvert;62;32;09;50.4722980835, 2.99607575849
0623516K;Ecole primaire Rimetz-Deparetère;ECOLE PRIMAIRE PUBLIQUE;RIMETZ-DEPARETERE;Public;9 rue William Willard;;;62880;PONT A VENDIN;692090.9;7041799.4;50.473555990309094;2.8887526754317334;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.4735559903, 2.88875267543
0623851Z;Groupe scolaire Boris Vian;ECOLE PRIMAIRE PUBLIQUE;BORIS VIAN;Public;RUE ANNE FRANK;;;62220;CARVIN;697439.0;7044313.1;50.49616424646788;2.9639614879109386;Parfaite;Rue;151;Ecole élémentaire;1;Ouvert;62;32;09;50.4961642465, 2.96396148791
0623919Y;Collège Léonard de Vinci;COLLEGE;LEONARD DE VINCI;Public;Contour DE BUQUEUX;;;62220;CARVIN;698287.9;7044386.9;50.49682958080606;2.975906930719035;Parfaite;Numéro de rue;340;Collège;1;Ouvert;62;32;09;50.4968295808, 2.97590693072
0590011S;Lycée polyvalent Gustave Eiffel;LYCEE POLYVALENT;GUSTAVE EIFFEL;Public;96 rue JULES LEBLEU;;BP111;59427;ARMENTIERES CEDEX;690866.8;7065794.6;50.68889483124139;2.8709833778625082;Correcte;Numéro de rue;306;Lycée polyvalent;1;Ouvert;59;32;09;50.6888948312, 2.87098337786
0590057S;Collège Paul Eluard;COLLEGE;PAUL ELUARD;Public;128 impasse DU COLLEGE;;;59830;CYSOING;715194.3;7052728.6;50.57151852917778;3.2141355408193397;Parfaite;Numéro de rue;340;Collège;1;Ouvert;59;32;09;50.5715185292, 3.21413554082
0590086Y;Lycée général et technologique Marguerite de Flandre;LYCEE GENERAL ET TECHNOLOGIQUE;MARGUERITE DE FLANDRE;Public;4  RUE DU MARECHAL LECLERC;;;59147;GONDECOURT;698652.0;7049535.9;50.543046637196845;2.981013207599209;Parfaite;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.5430466372, 2.9810132076
0590121L;Lycée général et technologique César Baggio - Lycée des Métiers des Sciences de l'Ingénieur;LGT LYCEE DES METIERS;CESAR BAGGIO;Public;332  BOULEVARD D'ALSACE;;;59000;LILLE;704842.9;7057783.0;50.617046797897984;3.0683134898709383;Parfaite;Numéro de rue;300;Lycée d'enseignement général et technologique;1;Ouvert;59;32;09;50.6170467979, 3.06831348987
