geometry;commune;libelle;code-postal;objectid;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [3.2352637437863, 50.703545071172]}";WATTRELOS;LA POSTE BEAULIEU;59150;1880;50.7035450712, 3.23526374379
"{""type"": ""Point"", ""coordinates"": [3.0120537705089, 50.615027489749]}";LOOS;LA POSTE;59120;1114;50.6150274897, 3.01205377051
"{""type"": ""Point"", ""coordinates"": [3.0087921128636, 50.606371620201]}";LOOS;LA POSTE LES OLIVEAUX;59120;1087;50.6063716202, 3.00879211286
"{""type"": ""Point"", ""coordinates"": [3.1128628265344, 50.614201599495]}";LEZENNES;LA POSTE;59260;850;50.6142015995, 3.11286282653
"{""type"": ""Point"", ""coordinates"": [3.0817345250781, 50.607749999571]}";RONCHIN;LA POSTE;59790;1365;50.6077499996, 3.08173452508
"{""type"": ""Point"", ""coordinates"": [2.9983775270643, 50.569420990851]}";HOUPLIN-ANCOISNE;LA POSTE;59263;703;50.5694209909, 2.99837752706
"{""type"": ""Point"", ""coordinates"": [3.0748408242202, 50.632669692082]}";LILLE;POSTE (CENTRE REGIONAL);59000;4253;50.6326696921, 3.07484082422
"{""type"": ""Point"", ""coordinates"": [2.9382155097977, 50.572978406478]}";WAVRIN;LA POSTE;59136;1943;50.5729784065, 2.9382155098
"{""type"": ""Point"", ""coordinates"": [3.0007080623128, 50.593291223694]}";EMMERIN;LA POSTE;59320;445;50.5932912237, 3.00070806231
"{""type"": ""Point"", ""coordinates"": [3.0697039926035, 50.602232877748]}";FACHES-THUMESNIL;LA POSTE;59155;484;50.6022328777, 3.0697039926
"{""type"": ""Point"", ""coordinates"": [3.1756832986735, 50.691872239653]}";ROUBAIX;LA POSTE;59100;1448;50.6918722397, 3.17568329867
"{""type"": ""Point"", ""coordinates"": [3.167285121661, 50.587635798274]}";SAINGHIN EN MELANTOIS;LA POSTE;59262;1494;50.5876357983, 3.16728512166
"{""type"": ""Point"", ""coordinates"": [2.9608891200235, 50.591836108147]}";SANTES;LA POSTE;59211;1560;50.5918361081, 2.96088912002
"{""type"": ""Point"", ""coordinates"": [2.8654819776122, 50.553818463651]}";MARQUILLIES;LA POSTE;59274;1225;50.5538184637, 2.86548197761
"{""type"": ""Point"", ""coordinates"": [3.107527575201, 50.642433384511]}";MONS-EN-BAROEUL;LA POSTE;59370;1228;50.6424333845, 3.1075275752
"{""type"": ""Point"", ""coordinates"": [3.0559224212307, 50.629774959899]}";LILLE;LA POSTE GAMBETTA;59000;4730;50.6297749599, 3.05592242123
"{""type"": ""Point"", ""coordinates"": [3.102512720254, 50.665425600699]}";MARCQ-EN-BAROEUL;LA POSTE;59700;5747;50.6654256007, 3.10251272025
"{""type"": ""Point"", ""coordinates"": [3.166196997922, 50.69726121002]}";ROUBAIX;LA POSTE;59100;6100;50.69726121, 3.16619699792
"{""type"": ""Point"", ""coordinates"": [2.9834817589566, 50.610873740582]}";HAUBOURDIN;LA POSTE;59320;6489;50.6108737406, 2.98348175896
"{""type"": ""Point"", ""coordinates"": [3.1914623917007, 50.685916856542]}";ROUBAIX;LA POSTE;59100;6577;50.6859168565, 3.1914623917
"{""type"": ""Point"", ""coordinates"": [3.153417946841, 50.694566463957]}";TOURCOING;LA POSTE BLANC SEAU;59200;18980;50.694566464, 3.15341794684
"{""type"": ""Point"", ""coordinates"": [3.0894737346246, 50.632993049107]}";LILLE;LA POSTE FIVES;59000;18303;50.6329930491, 3.08947373462
"{""type"": ""Point"", ""coordinates"": [3.1521298591681, 50.676858268217]}";CROIX;LA POSTE PLATE FORME COURRIER DE CROIX;59170;20175;50.6768582682, 3.15212985917
"{""type"": ""Point"", ""coordinates"": [3.1410985641894, 50.700823665577]}";MOUVAUX;LA POSTE;59420;1270;50.7008236656, 3.14109856419
"{""type"": ""Point"", ""coordinates"": [3.0641482192653, 50.676245552958]}";MARQUETTE;LA POSTE;59520;1206;50.676245553, 3.06414821927
"{""type"": ""Point"", ""coordinates"": [2.93322818151, 50.712494548571]}";FRELINGHIEN;LA POSTE;59236;5197;50.7124945486, 2.93322818151
"{""type"": ""Point"", ""coordinates"": [3.1595772877975, 50.621449754419]}";VILLENEUVE D'ASCQ;LA POSTE;59650;30;50.6214497544, 3.1595772878
"{""type"": ""Point"", ""coordinates"": [3.1469748608441, 50.624623155131]}";VILLENEUVE D'ASCQ;LA POSTE;59650;43;50.6246231551, 3.14697486084
"{""type"": ""Point"", ""coordinates"": [3.2248422628514, 50.660519446069]}";TOUFFLERS;LA POSTE;59390;1649;50.6605194461, 3.22484226285
"{""type"": ""Point"", ""coordinates"": [3.1756053951194, 50.699682254682]}";ROUBAIX;LA POSTE;59100;2005;50.6996822547, 3.17560539512
"{""type"": ""Point"", ""coordinates"": [3.1452125056936, 50.558396652987]}";FRETIN;LA POSTE;59273;531;50.558396653, 3.14521250569
"{""type"": ""Point"", ""coordinates"": [3.0876133083856, 50.642325696893]}";LILLE;LA POSTE SAINT MAURICE;59000;4256;50.6423256969, 3.08761330839
"{""type"": ""Point"", ""coordinates"": [3.0679522260146, 50.622216146233]}";LILLE;LA POSTE MOULINS-CENTRE DE DISTRIBUTION DU COURRIER;59000;6384;50.6222161462, 3.06795222601
"{""type"": ""Point"", ""coordinates"": [3.1064330436138, 50.626579215005]}";(HELLEMMES) LILLE;LA POSTE;59260;6390;50.626579215, 3.10643304361
