commune;objectid;Site web;Nom;geometry;type;code-postal;geo_point_2d
LILLE;3348;http://legrandbleu.com/;Theatre Le Grand Bleu;"{""type"": ""Point"", ""coordinates"": [3.0337405158102, 50.635675064374]}";THEATRE;59000;50.6356750644, 3.03374051581
LEERS;5188;https://www.ville-leers.fr/Temps-libre/Culture;Salle De Cinema Edgar Deffrenne;"{""type"": ""Point"", ""coordinates"": [3.2437467327882, 50.679125503894]}";CINEMA;59115;50.6791255039, 3.24374673279
ROUBAIX;1446;http://www.duplexe.com/;Cinema Le Duplexe;"{""type"": ""Point"", ""coordinates"": [3.1783314966156, 50.692684320488]}";CINEMA;59100;50.6926843205, 3.17833149662
TOURCOING;1705;http://www.tourcoing-tourisme.com/fic_theatre_municipal.asp;Theatre Municipal Raymond Devos;"{""type"": ""Point"", ""coordinates"": [3.1533980718146, 50.720696943328]}";THEATRE;59200;50.7206969433, 3.15339807181
LILLE;4954;http://www.theatre-verriere-decouverte.org/;Theatre De La Verriere;"{""type"": ""Point"", ""coordinates"": [3.0516139280035, 50.631283177659]}";THEATRE;59000;50.6312831777, 3.051613928
HEM;6025;http://www.ville-hem.fr/culture-et-animations/equipements-culturels.html;Theatre De L'Aventure;"{""type"": ""Point"", ""coordinates"": [3.1891362598045, 50.663604153174]}";THEATRE;59510;50.6636041532, 3.1891362598
LILLE;5374;http://www.theatredunord.fr/;Theatre Du Nord;"{""type"": ""Point"", ""coordinates"": [3.0638653831568, 50.636320147749]}";THEATRE;59000;50.6363201477, 3.06386538316
VILLENEUVE D'ASCQ;22492;http://www.lemelies.fr/;Cinema Le Melies;"{""type"": ""Point"", ""coordinates"": [3.1411107941522, 50.616730234349]}";CINEMA;59650;50.6167302343, 3.14111079415
LOOS;23038;http://www.ville-loos.fr/lrub-8-78-110-equipements-sportifs-et-culturels.html;Theatre Du Square;"{""type"": ""Point"", ""coordinates"": [3.012800573819, 50.615074035012]}";THEATRE;59120;50.615074035, 3.01280057382
MARCQ-EN-BAROEUL;23420;;Theatre Charcot;"{""type"": ""Point"", ""coordinates"": [3.0838827127401, 50.662619999698]}";THEATRE;59700;50.6626199997, 3.08388271274
LILLE;933;http://www.theatre-sebastopol.fr/;Theatre Sebastopol;"{""type"": ""Point"", ""coordinates"": [3.0579556447701, 50.629131477173]}";THEATRE;59000;50.6291314772, 3.05795564477
ROUBAIX;1454;http://www.118000.fr/e_C0027749073;Theatre Pierre De Roubaix;"{""type"": ""Point"", ""coordinates"": [3.1865858270685, 50.689998303654]}";THEATRE;59100;50.6899983037, 3.18658582707
ROUBAIX;5821;http://oiseau-mouche.org/;Garage Theatre La Compagnie De L'Oiseau Mouche;"{""type"": ""Point"", ""coordinates"": [3.1844579066763, 50.69320202115]}";THEATRE;59100;50.6932020212, 3.18445790668
LILLE;5705;http://www.lemajesticlille.com/;Cinema Majestic;"{""type"": ""Point"", ""coordinates"": [3.0628097364575, 50.633539499238]}";CINEMA;59000;50.6335394992, 3.06280973646
LILLE;25877;;Theatre Le Barraca Zem;"{""type"": ""Point"", ""coordinates"": [3.0548712899904, 50.628145468551]}";THEATRE;59000;50.6281454686, 3.05487128999
RONCQ;20501;http://www.cinemaroncq.fr/programme.php;Cinema Gerard Philippe;"{""type"": ""Point"", ""coordinates"": [3.1221557410058, 50.751167619882]}";CINEMA;59223;50.7511676199, 3.12215574101
