geo_point_2d;Geo Shape;building;shop;name;opening_hours;source;type;@id
50.6141095912, 3.12745104183;"{""type"": ""Polygon"", ""coordinates"": [[[3.1273083, 50.614488], [3.1266755, 50.6141336], [3.1264142, 50.6139829], [3.126637, 50.6138313], [3.1266003, 50.6138099], [3.1266451, 50.6137815], [3.1267145, 50.6137604], [3.1267146, 50.6137421], [3.1267855, 50.6137387], [3.1267847, 50.613711], [3.1269019, 50.6136273], [3.1269533, 50.6136258], [3.1269508, 50.6135786], [3.1269768, 50.6135784], [3.1270685, 50.6135147], [3.1270992, 50.6135326], [3.1273138, 50.6133833], [3.1274519, 50.6134655], [3.1272721, 50.6135897], [3.1279132, 50.613961], [3.1281319, 50.6140877], [3.128246, 50.6141537], [3.1284049, 50.6142457], [3.1284401, 50.6142662], [3.128454, 50.6145161], [3.1279913, 50.6145297], [3.127714, 50.6147233], [3.1273972, 50.6145395], [3.1273083, 50.614488]]]}";yes;doityourself;Leroy Merlin;Mo-Sa 9:00-20:00;"cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre ; mise íæ jour : 2009";;way/79050430
50.6149452079, 3.11367707283;"{""type"": ""Polygon"", ""coordinates"": [[[3.1137898, 50.6149564], [3.1136384, 50.6149904], [3.1136058, 50.6150001], [3.113559, 50.6149429], [3.1135993, 50.61493], [3.1136746, 50.6149061], [3.1136998, 50.6148981], [3.1137329, 50.6148876], [3.1137541, 50.6149187], [3.1137741, 50.6149125], [3.1137898, 50.6149564]]]}";yes;greengrocer;Primeur Parent;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/79706557
50.614494197, 3.11378266539;"{""type"": ""Polygon"", ""coordinates"": [[[3.1136509, 50.6145144], [3.1137133, 50.614485], [3.1137353, 50.6145068], [3.11376, 50.6144955], [3.1137833, 50.6145158], [3.1138274, 50.6144956], [3.1137812, 50.6144549], [3.1137489, 50.6144695], [3.1137014, 50.6144233], [3.1137852, 50.6143858], [3.1138475, 50.614442], [3.1138687, 50.6144607], [3.1139239, 50.6145093], [3.1139001, 50.6145188], [3.1137246, 50.61459], [3.1136509, 50.6145144]]]}";yes;bakery;Le Saint-Honorí©;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/79713780
50.6755705681, 3.19502821124;"{""type"": ""Polygon"", ""coordinates"": [[[3.1950347, 50.6755907], [3.1949966, 50.6755665], [3.1950217, 50.6755505], [3.1950598, 50.6755745], [3.1950347, 50.6755907]]]}";;bakery;No Stress !;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/79822977
50.6929527859, 3.16701257536;"{""type"": ""Polygon"", ""coordinates"": [[[3.1667327, 50.6927816], [3.1669626, 50.692744], [3.1671319, 50.6927145], [3.1672881, 50.6931274], [3.1671117, 50.6931563], [3.1669252, 50.6931868], [3.1668893, 50.6931717], [3.1667327, 50.6927816]]]}";commercial;fashion;Le Vestiaire;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/79828236
50.6829637343, 3.19325462971;"{""type"": ""Polygon"", ""coordinates"": [[[3.1933631, 50.6829676], [3.1933384, 50.6829903], [3.1933283, 50.6829863], [3.1932895, 50.6830274], [3.1931491, 50.6829666], [3.1932037, 50.6829113], [3.1932466, 50.6829075], [3.1933631, 50.6829676]]]}";yes;bakery;Planckaert;;"cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre ; mise íæ jour : 2009";;way/80147584
50.6647828471, 3.12368145471;"{""type"": ""Polygon"", ""coordinates"": [[[3.123548, 50.6645958], [3.1235437, 50.6645961], [3.1235311, 50.6645066], [3.1236335, 50.6645007], [3.1236349, 50.6645108], [3.1237595, 50.6645035], [3.1237738, 50.664606], [3.1238216, 50.6649535], [3.123827, 50.6649926], [3.1236234, 50.665127], [3.123548, 50.6645958]]]}";yes;supermarket;Label vie;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/82276751
50.5958886478, 2.82632042488;"{""type"": ""Polygon"", ""coordinates"": [[[2.826358, 50.5957641], [2.8263801, 50.5957757], [2.8265074, 50.5958413], [2.8262856, 50.5960134], [2.8261326, 50.5959343], [2.826358, 50.5957641]]]}";yes;car_repair;Garage du Bourg;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/83532622
50.619399244, 3.05064108902;"{""type"": ""Polygon"", ""coordinates"": [[[3.0505641, 50.6193934], [3.0505831, 50.6194022], [3.0506295, 50.6193651], [3.0507286, 50.6193325], [3.0507719, 50.6193856], [3.0505252, 50.6194679], [3.0505051, 50.6194417], [3.0505641, 50.6193934]]]}";yes;bakery;Le Pain Dorí©;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/84397460
50.6248519624, 3.04961536988;"{""type"": ""Polygon"", ""coordinates"": [[[3.0495676, 50.6248637], [3.0495476, 50.6248601], [3.0495317, 50.6248569], [3.0495191, 50.6248545], [3.0494874, 50.6248484], [3.0494927, 50.6248376], [3.0495043, 50.6248396], [3.0495169, 50.6248118], [3.0497354, 50.6248536], [3.0497175, 50.6248923], [3.0495676, 50.6248637]]]}";retail;butcher;Boucherie Zakaria;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/84398600
50.6229442602, 3.05441528133;"{""type"": ""Polygon"", ""coordinates"": [[[3.0543754, 50.6229053], [3.0544524, 50.6229037], [3.0544514, 50.6229359], [3.0544546, 50.6229835], [3.0543808, 50.6229855], [3.0543754, 50.6229053]]]}";yes;hairdresser;;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/84398757
50.6232298661, 3.05433131378;"{""type"": ""Polygon"", ""coordinates"": [[[3.0544423, 50.6232526], [3.0542249, 50.6232631], [3.0542207, 50.6232076], [3.0544032, 50.6231978], [3.0544179, 50.623197], [3.0544359, 50.6231962], [3.0544423, 50.6232526]]]}";yes;bakery;P'tit Louis;;cadastre-dgi-fr source : Direction Gí©ní©rale des ImpíÇts - Cadastre. Mise íæ jour : 2010;;way/84398971
