Code Iris;Commune;Nombre de 65 ans et plus;Nombre de moins de 20 ans;Nombre de familles monoparentales;Nombre de personnes âgées de 75 ans et plus;geom;geo_point_2d
59051;La Bassée;1028.19854087;1662.00744091;346.806148183;580.262214982;"{""type"": ""Polygon"", ""coordinates"": [[[2.7993905002, 50.5285669232], [2.7991087969, 50.5289398546], [2.7991362185, 50.5298311824], [2.8003527284, 50.5334144267], [2.8019402479, 50.5343809547], [2.8019441149, 50.5348297406], [2.8003840749, 50.5411334592], [2.7944735845, 50.549202608], [2.7953238478999998, 50.5496931747], [2.7986414967, 50.5507128288], [2.8007017843, 50.551243014], [2.8020420509, 50.5514623661], [2.8028860837, 50.5514143468], [2.8049971258, 50.5512265108], [2.8069801226, 50.5509953576], [2.8102851951, 50.5505786179], [2.812250867, 50.5500691166], [2.8131605919, 50.5493928491], [2.8131595165, 50.5493030935], [2.8129440771, 50.5488997729], [2.8130126942, 50.5486306142], [2.8151107997, 50.545787654], [2.8193974594, 50.5449188691], [2.8215700322, 50.5439679248], [2.8203577098, 50.5422680126], [2.8202838901, 50.5420354403], [2.8255638931, 50.5405342038], [2.8258090558999998, 50.5368456037], [2.8192475246, 50.5329381079], [2.8160920024, 50.5320753948], [2.8144035317, 50.5320818524], [2.8110273233000003, 50.5322742121], [2.809875733, 50.5310679206], [2.8100330332, 50.5308051756], [2.8107790841, 50.5301313488], [2.8121841828000003, 50.5290644864], [2.8123436718, 50.5289650982], [2.8118391374, 50.5287022434], [2.8068801407, 50.5267639426], [2.8037705658, 50.5269098473], [2.8037021002999998, 50.5271350287], [2.8030767046, 50.5279086378], [2.80279508, 50.5279099849], [2.8014535063, 50.5274662382], [2.8001884918, 50.5276060201], [2.7993905002, 50.5285669232]]]}";50.5397906347, 2.8093217048
59106;Bouvines;140.116134794;163.003302808;34.8797585892;59.4550630443;"{""type"": ""Polygon"", ""coordinates"": [[[3.1929756364, 50.5923455568], [3.1932577806, 50.5923881968], [3.1943948036, 50.5929186279], [3.1956782922, 50.5937620387], [3.2008397884, 50.591922923], [3.2078823919, 50.5889038415], [3.2103924387, 50.5873613113], [3.2031562726000002, 50.5853037577], [3.2016649704, 50.584642046], [3.1998935423, 50.5840705171], [3.197898173, 50.5835379123], [3.1942885598, 50.5825761186], [3.1926495852, 50.5823184012], [3.1911385652, 50.5804889451], [3.1908377693, 50.5799706535], [3.1907751737, 50.5798190722], [3.1927851868, 50.5779796755], [3.1960860961, 50.5764990034], [3.1967871092, 50.5762699267], [3.1978743648, 50.5760563852], [3.1997155948, 50.575116437], [3.1989766589, 50.5725220305], [3.1940197182, 50.5677030602], [3.1908961856999998, 50.567141576], [3.1893530994, 50.5675110267], [3.1890745913, 50.5676478742], [3.1888703681, 50.5680529652], [3.1886138458, 50.5695441277], [3.1884261586, 50.5709804336], [3.1886555111, 50.5720104277], [3.1883879506, 50.572819491], [3.1876867831, 50.5730045437], [3.1848029202, 50.5733023608], [3.1824872729, 50.5779467921], [3.1810663203, 50.5814195087], [3.180802375, 50.582497788], [3.1823149739, 50.5844610885], [3.1857775852, 50.5883941433], [3.1893753265, 50.5902536823], [3.1920464425, 50.5915895219], [3.1924730727, 50.5918105394], [3.1929756364, 50.5923455568]]]}";50.5817744342, 3.19276023247
59163;Croix;3163.70700126;5615.50150817;1081.0618712;1699.43517679;"{""type"": ""Polygon"", ""coordinates"": [[[3.1379094831, 50.6731355881], [3.1375681747, 50.6738098953], [3.1416588624, 50.6801631703], [3.1479452906, 50.6892568753], [3.1484188069, 50.6917410804], [3.1498339561, 50.6935089567], [3.1516267934, 50.6930634925], [3.1521116192, 50.6936147698], [3.154149639, 50.6934283029], [3.1527988103, 50.6919556248], [3.1516302592, 50.6895368961], [3.1513059926, 50.6878753895], [3.1524645283, 50.6874818291], [3.1549822725, 50.6871987399], [3.1605951688, 50.6843514725], [3.1635300516, 50.6825376655], [3.1643897119, 50.6810881849], [3.1618528242, 50.6792662705], [3.1594766906, 50.6773085904], [3.1541883325, 50.6729271085], [3.1534167252, 50.6722801575], [3.1534149366, 50.6703095165], [3.1534364488, 50.6699559222], [3.1536184417, 50.6699018545], [3.1539684487, 50.6698403994], [3.1546292291, 50.6698171443], [3.1558078993, 50.6701387288], [3.1570430098, 50.6708927676], [3.1604005136, 50.6733912646], [3.163314448, 50.6761827893], [3.1647039763, 50.6757125269], [3.1669253738, 50.6748453921], [3.16851757, 50.6741908518], [3.1707397513, 50.6715181223], [3.1733247605, 50.6705292209], [3.1729874054, 50.670159073], [3.1720585664, 50.6681915071], [3.1711117415, 50.6663109997], [3.1686167009, 50.6629267721], [3.1627496953, 50.6575071608], [3.1620332046, 50.6568395363], [3.160838281, 50.6579691176], [3.152231197, 50.6631929183], [3.1440600431, 50.6689046483], [3.1388207337, 50.6727702388], [3.1379094831, 50.6731355881]]]}";50.6738145833, 3.15502190868
59202;Erquinghem-Lys;666.062710544;1265.90563544;130.162257354;330.054510007;"{""type"": ""Polygon"", ""coordinates"": [[[2.8098407598, 50.6707576588], [2.8099850197, 50.6710710651], [2.8100003944000003, 50.6726047087], [2.8097310451, 50.6739961279], [2.8098127701999998, 50.6751619432], [2.8103138557, 50.675976627], [2.8106719562, 50.6765129046], [2.8140451192000002, 50.6809043395], [2.8159649684, 50.6823322136], [2.8173668416, 50.6829041077], [2.8181208104, 50.6829805919], [2.8195628734, 50.6829934621], [2.8207636823, 50.6829296921], [2.8218889779, 50.6826513324], [2.8230942775, 50.6821119432], [2.8243039506, 50.6811229679], [2.8250395714, 50.6803809863], [2.8260196003, 50.6792050158], [2.8268619334, 50.6782190863], [2.8277561749, 50.6777357491], [2.8286154592, 50.6775583604], [2.8328268932, 50.6771432302], [2.834083873, 50.6771287621], [2.835030048, 50.677145277], [2.839161726, 50.677792313], [2.8407081002, 50.6782672185], [2.8434823378000003, 50.6794803962], [2.8491271553, 50.6824109941], [2.8539767352, 50.685080156], [2.8551235124, 50.685630682], [2.8561973056000003, 50.6860267669], [2.8566199130000003, 50.6859357245], [2.858448235, 50.6852549299], [2.8612594391, 50.6841220415], [2.864721565, 50.6830221031], [2.8683823149, 50.6820649579], [2.8699482332, 50.6816959951], [2.8714291478, 50.681419353], [2.8712204606, 50.6812836348], [2.8674617338, 50.6782026126], [2.8612768409, 50.6722103848], [2.8613227893, 50.66989161], [2.8622899030999998, 50.6678915251], [2.862911708, 50.666669079], [2.8640254316, 50.6652291021], [2.8656893687, 50.6623431171], [2.8662415795, 50.6612192822], [2.8636982788000003, 50.6609158915], [2.8605880733999998, 50.6603910551], [2.8597235014, 50.6600804813], [2.8481305775, 50.6537518623], [2.8455052718, 50.6522732942], [2.8445973531, 50.6532727662], [2.8404536963, 50.6565636647], [2.8380680394, 50.6578384716], [2.8362425342, 50.6587424485], [2.8327849771, 50.6600570126], [2.8310266788, 50.660655887], [2.8242078495, 50.6617914977], [2.8223968108, 50.6620868558], [2.8212814995, 50.6612776036], [2.8211401535, 50.6613231672], [2.8176900289, 50.6635427842], [2.8158016843, 50.6652540108], [2.8118638664, 50.6682381984], [2.809404217, 50.6693238723], [2.8091936433, 50.669370213], [2.8094083315000002, 50.6697277004], [2.8098400278, 50.6705781816], [2.8098407598, 50.6707576588]]]}";50.670348899, 2.84052914935
59252;Frelinghien;409.773327771;610.122514254;110.71547768;163.10387985;"{""type"": ""Polygon"", ""coordinates"": [[[2.9668008348, 50.7102170689], [2.9670793853, 50.7099919144], [2.9718022631, 50.7025497229], [2.9724965675, 50.7015951134], [2.9802634261, 50.6949984429], [2.9818716167, 50.6937702213], [2.9800933726, 50.6927478706], [2.9765189049, 50.6903450415], [2.9757337767000003, 50.6897122577], [2.9741780024, 50.6851264588], [2.9701120279, 50.6817039114], [2.9694031063, 50.6815278557], [2.9676208208, 50.6812680662], [2.9637574821, 50.6799155687], [2.9603224861, 50.6800939926], [2.9599000440000003, 50.6802760221], [2.9596216263, 50.6805011705], [2.9532351786, 50.68471384], [2.9473510235, 50.6884732054], [2.9355557575, 50.6962180524], [2.9224700922, 50.7027118053], [2.9223300662, 50.7028014514], [2.9224005775, 50.7028912289], [2.9252051304, 50.7059097806], [2.9275630131, 50.7082576923], [2.9302520856000003, 50.7134556334], [2.9307796391, 50.716243], [2.9298687861, 50.7227587726], [2.9331559043, 50.7265651574], [2.9368215156, 50.7299633554], [2.9371762611000003, 50.7300514703], [2.9372456494, 50.7299608782], [2.9442778782000003, 50.7260170002], [2.9473064774, 50.7241537207], [2.9481416681, 50.723028849], [2.9491743506, 50.7208712472], [2.9539684406, 50.7137663776], [2.966091552, 50.7099961356], [2.9668008348, 50.7102170689]]]}";50.7027937479, 2.9510355987
59278;Hallennes-lez-Haubourdin;568.429410986;1048.61304293;126.298100778;255.003909668;"{""type"": ""Polygon"", ""coordinates"": [[[2.9630867685, 50.6201930574], [2.9635045966, 50.6198252285], [2.9682449795, 50.6167446979], [2.9703683392, 50.6160093142], [2.971654652, 50.6162205154], [2.9732445838, 50.6158026566], [2.974091135, 50.6153801368], [2.9731763162, 50.6142114602], [2.9719133349, 50.6127151256], [2.9693400259000002, 50.6114096162], [2.9683847808, 50.6097760041], [2.9684868510999998, 50.6066941506], [2.9686943614, 50.6063791937], [2.9698809577, 50.6054757416], [2.9705087913, 50.6050235703], [2.9707163343, 50.6046188627], [2.9706444639000003, 50.6045299967], [2.9692966605, 50.6038996495], [2.9675836117000003, 50.6033257326], [2.9620733207, 50.6022768258], [2.9609311434, 50.6021930068], [2.9518616153, 50.6014529973], [2.9404908159, 50.5996926116], [2.9387282848, 50.5996118787], [2.9364734058, 50.5997121589], [2.9364054925, 50.5998925159], [2.9364131027, 50.6005647258], [2.936696371, 50.6006976964], [2.9373322315, 50.6007850738], [2.9381102881, 50.6010591928], [2.9391781509, 50.6019060348], [2.9392499065, 50.6020406903], [2.938838453, 50.6029397513], [2.938423029, 50.6036144412], [2.9387781861, 50.6037923154], [2.9419754412, 50.604763115], [2.9439600776, 50.6056507223], [2.9443560425, 50.6059407813], [2.9457346086, 50.6078826031], [2.9455289361, 50.6089657477], [2.9403468526000003, 50.6140600196], [2.9390873515, 50.6151560945], [2.9385889570000003, 50.6155444453], [2.9389061873, 50.615662168], [2.9410902133, 50.6164458006], [2.9423296105, 50.6168789534], [2.9447924066, 50.6208090949], [2.941318153, 50.6253898352], [2.944701775, 50.6262502363], [2.9550542363, 50.6234876129], [2.9626350556, 50.6205904902], [2.9630867685, 50.6201930574]]]}";50.6120719497, 2.95452652695
59279;Halluin;2693.93299552;6074.67449934;812.268872016;1261.12523079;"{""type"": ""Polygon"", ""coordinates"": [[[3.1408846187, 50.7580212923], [3.1398943178, 50.7579829296], [3.1332788774, 50.7608147602], [3.1302035521000002, 50.7630315445], [3.1270672791, 50.7653111149], [3.1273008215, 50.7681354167], [3.1249795821, 50.7689129894], [3.1228823773, 50.7681865125], [3.1219930455, 50.7678554055], [3.1201262484, 50.7670057321], [3.1149668472, 50.7634960709], [3.1131735869, 50.7618835532], [3.1116866088, 50.7599091365], [3.1075892264, 50.7582860141], [3.1029103001, 50.7598906803], [3.1002018442, 50.7615698628], [3.1000619739, 50.7616605982], [3.0997148621, 50.7621104016], [3.0988805698, 50.7630128076], [3.0905480924, 50.7740328428], [3.0902699029, 50.7743479755], [3.0901992327, 50.7743928886], [3.0902072778, 50.7749312254], [3.0917815057, 50.776087510400004], [3.0941547356, 50.7776747415], [3.0973505769, 50.7786637268], [3.1002065048, 50.7794537175], [3.1023440719, 50.7804712333], [3.1046423212, 50.7818115783], [3.1060048112, 50.7829687467], [3.106796433, 50.7838608103], [3.1073791958, 50.7850231124], [3.1074614082, 50.7857399229], [3.1071913186, 50.7865135613], [3.1068507177, 50.7874119723], [3.1070037928, 50.7881735807], [3.1075156457, 50.7892462136], [3.1083280065, 50.7905061], [3.1107149332, 50.7938990593], [3.1109305955, 50.7941222732], [3.1122064185, 50.7942933952], [3.1139193568, 50.7943277291], [3.1147669733, 50.7941878834], [3.1204436501, 50.7907354291], [3.1249879536, 50.7864377586], [3.12512796, 50.7863918597], [3.126898778, 50.7864699211], [3.1285442124, 50.7867732894], [3.135583685, 50.7881188353], [3.1394866164, 50.7888556295], [3.1473180409, 50.7902399942], [3.1488060742, 50.7903647332], [3.1500092064, 50.7903570097], [3.1507827801, 50.7901272853], [3.1514729557, 50.7890022334], [3.1519511333, 50.7879904842], [3.1522185097, 50.7870148782], [3.1519768351, 50.7852673827], [3.1520005086, 50.7823432932], [3.1539990253, 50.7791825868], [3.1547632549, 50.7782808172], [3.1580172613, 50.7753355914], [3.1604992641, 50.7735702393], [3.1616103544, 50.772352143], [3.1616086498, 50.772262421], [3.1602573367, 50.7718137516], [3.1601864458, 50.7717689807], [3.160795052, 50.7700616379], [3.1546498345, 50.7640111946], [3.1509453668, 50.7619018087], [3.1461034059, 50.7596357288], [3.1448726750000002, 50.7591391881], [3.1430968187, 50.7584548379], [3.1408846187, 50.7580212923]]]}";50.7748732647, 3.12674472506
59299;Hem;2862.85093154;5462.27576533;866.369377321;1402.33870489;"{""type"": ""Polygon"", ""coordinates"": [[[3.2093281916, 50.6635603232], [3.2100448281, 50.6630772149], [3.2143978197, 50.660795786], [3.2180184123, 50.6616007286], [3.2184589502, 50.661285867], [3.2185243253999998, 50.6610605062], [3.2206949057, 50.656058166], [3.2209039268, 50.6551164206], [3.220810152, 50.6546580148], [3.2150885718, 50.6509985663], [3.2090565729, 50.6458065775], [3.2061025756, 50.638947162], [3.2062443787, 50.6349901773], [3.2062386712, 50.6346312155], [3.2059544994999998, 50.6344988677], [3.2025619465, 50.6340736831], [3.1984699607, 50.634819773], [3.1969174503, 50.6347414764], [3.1962136845, 50.6348359232], [3.1930071966, 50.6354449179], [3.1867135246, 50.6376909263], [3.1858018481, 50.6380566479], [3.1860205257, 50.6384224692], [3.1859842575, 50.6404417224], [3.1809534594, 50.6495354742], [3.1692300936, 50.6526471542], [3.1685240107, 50.6525619634], [3.1680316768, 50.6526550631], [3.1649133807, 50.6539182986], [3.1639677379, 50.6543960708], [3.1632015697, 50.6549391099], [3.162170824, 50.6566141098], [3.1620332046, 50.6568395363], [3.1627496953, 50.6575071608], [3.1686167009, 50.6629267721], [3.1711117415, 50.6663109997], [3.1720585664, 50.6681915071], [3.1729874054, 50.670159073], [3.1733247605, 50.6705292209], [3.173841675, 50.6709619331], [3.1771255942, 50.6723787429], [3.1780735811, 50.6725012261], [3.1793850286, 50.6719824501], [3.1852745706, 50.6707031191], [3.1953409128, 50.6687511518], [3.1987643381, 50.6706903487], [3.1994071974000002, 50.6711344192], [3.2009441794, 50.6702264862], [3.2044467772, 50.6679512913], [3.2057658839, 50.6666407261], [3.206107967, 50.6660460892], [3.2065226422, 50.6655949123], [3.2086814388000002, 50.6638754978], [3.2093281916, 50.6635603232]]]}";50.6549764887, 3.19251568077
59317;Houplines;1109.0;2259.0;356.0;535.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.9004290358, 50.69328748], [2.9012742107, 50.6931050951], [2.9055011605, 50.6923232], [2.9060662497000003, 50.6923200388], [2.9098347835, 50.693423876], [2.9105473421, 50.6939143424], [2.9109065607, 50.694496081], [2.9109894969, 50.695527190600004], [2.9107167048, 50.6963893429], [2.9098775249, 50.6971550685], [2.9092297298, 50.6991099043], [2.9087962336, 50.701295504], [2.9089460369, 50.7020574527], [2.9096598007, 50.7027264884], [2.9110965781, 50.7036616494], [2.9115936515, 50.7038387786], [2.913924943, 50.7039624516], [2.9158299559, 50.703819285], [2.9174652899, 50.7035422078], [2.9190146279, 50.7031313501], [2.9213409565, 50.7028062136], [2.9223300662, 50.7028014514], [2.9224700922, 50.7027118053], [2.9355557575, 50.6962180524], [2.9473510235, 50.6884732054], [2.9532351786, 50.68471384], [2.9596216263, 50.6805011705], [2.9599000440000003, 50.6802760221], [2.9581960637, 50.6793780951], [2.9526227609, 50.675100132], [2.9522657735, 50.6747796335], [2.9522592674, 50.6741963387], [2.9509790994, 50.6734851204], [2.9482154117, 50.6708035377], [2.9429039911, 50.6687659549], [2.9378056068, 50.6672164217], [2.9319311026, 50.668685048], [2.9257356762, 50.6634982086], [2.9256638676, 50.6633644549], [2.9255226771, 50.6633652677], [2.9212657158, 50.6643318209], [2.9182192212, 50.6675344127], [2.9178227724, 50.6699220812], [2.9178240376, 50.67001182], [2.9176598196, 50.672847423], [2.9149788041, 50.6741154023], [2.9103349486, 50.6760073886], [2.9055494454, 50.6779349834], [2.8999836126, 50.6800331601], [2.897307473, 50.6805828574], [2.8988058580000002, 50.682056661], [2.8990931824, 50.6824589132], [2.8988370797, 50.6910885856], [2.9006349488, 50.6927492357], [2.9006373316, 50.6929726775], [2.9004290358, 50.69328748]]]}";50.6836515656, 2.92669689069
59343;Lesquin;993.827626848;1902.78405782;261.772623106;422.589327575;"{""type"": ""Polygon"", ""coordinates"": [[[3.0892889609, 50.5797335257], [3.0894994109, 50.5799739036], [3.0886200877, 50.584106604], [3.087126763, 50.5878923782], [3.0867149417, 50.5886124516], [3.0870706724, 50.5888796534], [3.0920153003, 50.5906692595], [3.1041098095, 50.5971843781], [3.108312711, 50.6022281653], [3.1135753199, 50.6077697972], [3.1149434003, 50.609645128], [3.1182522946, 50.6085031417], [3.1286616406, 50.6017124315], [3.1308284673, 50.6004016526], [3.1346443871, 50.5993941956], [3.1374023223, 50.6008630267], [3.1379419099, 50.6011962872], [3.1399715345, 50.5998289591], [3.1369065693, 50.5928069255], [3.1358259671, 50.5904944007], [3.1335669053, 50.5865972702], [3.1330617369000002, 50.5858825131], [3.1292561139, 50.5866700467], [3.1291136153, 50.5866253207], [3.1200631798, 50.5789877554], [3.1002352333, 50.5718307181], [3.0962615811, 50.5714281926], [3.0951291533, 50.5710314699], [3.0950603521, 50.5711661491], [3.0949918396, 50.5759301667], [3.094785331, 50.5762902236], [3.0918798542, 50.5798159981], [3.0907397835, 50.5799559497], [3.0892889609, 50.5797335257]]]}";50.5897868634, 3.11272084203
